commit_hash,commit_timestamp,commit_user,commit_message,file_changed
75d18c835feefaf656d104fec4477df697bbdc38,02-02-2024 10:54:13,Casper van Langen,feat: add tutorial data and dummy commit history,backend/app/app/tool_constants/tutorial_data/optional_features.md
75d18c835feefaf656d104fec4477df697bbdc38,02-02-2024 10:54:13,Casper van Langen,feat: add tutorial data and dummy commit history,backend/app/app/tool_constants/tutorial_data/pdf_tool.md
75d18c835feefaf656d104fec4477df697bbdc38,02-02-2024 10:54:13,Casper van Langen,feat: add tutorial data and dummy commit history,backend/app/app/tool_constants/tutorial_data/pull_requests.csv
75d18c835feefaf656d104fec4477df697bbdc38,02-02-2024 10:54:13,Casper van Langen,feat: add tutorial data and dummy commit history,backend/app/app/tool_constants/tutorial_data/setup.md
75d18c835feefaf656d104fec4477df697bbdc38,02-02-2024 10:54:13,Casper van Langen,feat: add tutorial data and dummy commit history,backend/app/app/tool_constants/tutorial_data/setup_development.md
75d18c835feefaf656d104fec4477df697bbdc38,02-02-2024 10:54:13,Casper van Langen,feat: add tutorial data and dummy commit history,backend/app/app/tool_constants/tutorial_data/sql_tool.md
75d18c835feefaf656d104fec4477df697bbdc38,02-02-2024 10:54:13,Casper van Langen,feat: add tutorial data and dummy commit history,backend/app/app/tool_constants/tutorial_data/summarizer_tool.md
75d18c835feefaf656d104fec4477df697bbdc38,02-02-2024 10:54:13,Casper van Langen,feat: add tutorial data and dummy commit history,backend/app/app/tool_constants/tutorial_data/visualizer_tool.md
c3e3920054a6df7e849b45edde709669f00a9d6c,02-02-2024 10:13:09,GitHub,"Merge pull request #11 from BCG-X-Official/fix/naming

Fix: naming AgentKit",.env.example
c3e3920054a6df7e849b45edde709669f00a9d6c,02-02-2024 10:13:09,GitHub,"Merge pull request #11 from BCG-X-Official/fix/naming

Fix: naming AgentKit",.github/workflows/main.yml.disabled
c3e3920054a6df7e849b45edde709669f00a9d6c,02-02-2024 10:13:09,GitHub,"Merge pull request #11 from BCG-X-Official/fix/naming

Fix: naming AgentKit",Makefile
c3e3920054a6df7e849b45edde709669f00a9d6c,02-02-2024 10:13:09,GitHub,"Merge pull request #11 from BCG-X-Official/fix/naming

Fix: naming AgentKit",backend/app/pyproject.toml
c3e3920054a6df7e849b45edde709669f00a9d6c,02-02-2024 10:13:09,GitHub,"Merge pull request #11 from BCG-X-Official/fix/naming

Fix: naming AgentKit",frontend/package.json
b38ad2604564095d7e88e3ad13bb868bafbde3b3,02-02-2024 11:20:38,Casper van Langen,fix: remove unneeded tutorial data,backend/app/app/tool_constants/tutorial_data/issues.csv
b38ad2604564095d7e88e3ad13bb868bafbde3b3,02-02-2024 11:20:38,Casper van Langen,fix: remove unneeded tutorial data,backend/app/app/tool_constants/tutorial_data/pull_requests.csv
29b0f30c24cffc730a920b87b05fb505118ffc0f,02-02-2024 11:31:24,Casper van Langen,cleanup: .env.example comments,.env.example
68282a594bedfd02613b59470b675d2e9f77f4d5,02-02-2024 16:36:42,GitHub,Update README.md video,README.md
ea99786753f669fbcb6570608ad73e2c2ef43d77,02-02-2024 10:53:03,Jakob Heyder,fix: contributors placeholder,README.md
ea99786753f669fbcb6570608ad73e2c2ef43d77,02-02-2024 10:53:03,Jakob Heyder,fix: contributors placeholder,frontend/src/styles/globals.css
5a41eff347ea2fac4b70ef58ad689c4a491a483d,02-02-2024 10:56:44,Jakob Heyder,fix: contributors placeholder,README.md
779310772827c535c5f55a354055d5cd280f9aeb,02-02-2024 15:59:25,Casper van Langen,"feat: include streaming of answer in pdf_tool, order sql load scripts",backend/app/app/services/chat_agent/tools/library/pdf_tool/pdf_tool.py
779310772827c535c5f55a354055d5cd280f9aeb,02-02-2024 15:59:25,Casper van Langen,"feat: include streaming of answer in pdf_tool, order sql load scripts",docker-compose-demo.yml
779310772827c535c5f55a354055d5cd280f9aeb,02-02-2024 15:59:25,Casper van Langen,"feat: include streaming of answer in pdf_tool, order sql load scripts",docker-compose-development.yml
